"Intent","Strategy","Method","Time Created","Sources","Labels","Destinations","Sensors","Priority"
"System Compromise","Malware Infection","Trojan","Fri, Sep 29 2017 02:10AM UTC","217.121.72.162"," ","192.168.56.11","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 02:10AM UTC","192.168.56.11"," ","217.121.72.162","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Remote Access Trojan","Fri, Sep 29 2017 02:10AM UTC","192.168.56.11"," ","217.121.72.162","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Malicious SSL Certificate","Fri, Sep 29 2017 02:00AM UTC","91.219.28.77"," ","10.0.2.15","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware User-Agent","Fri, Sep 29 2017 02:00AM UTC","10.0.2.15"," ","78.47.139.102","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Trojan","Fri, Sep 29 2017 02:00AM UTC","10.0.2.15"," ","78.47.139.102","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware User-Agent","Fri, Sep 29 2017 01:50AM UTC","10.0.2.15"," ","185.162.8.80","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Trojan","Fri, Sep 29 2017 01:50AM UTC","10.0.2.15"," ","185.162.8.80","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 01:50AM UTC","10.0.2.15"," ","185.162.8.80","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Exfiltration","Fri, Sep 29 2017 01:50AM UTC","10.0.2.15"," ","185.162.8.80","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 01:40AM UTC","192.168.1.80"," ","103.1.249.24","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Exploitation & Installation","Suspicious Behaviour","Public IP lookup after download","Fri, Sep 29 2017 01:20AM UTC","10.0.2.15;122.224.34.178"," ","10.0.2.15;180.149.138.197","b505ca76-08cf-46b9-8108-c26b94b3fa80","low"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 01:10AM UTC","192.168.56.102"," ","87.230.103.44","b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"Reconnaissance & Probing","WebServer Attack - SQL Injection","SQLmap","Fri, Sep 29 2017 01:10AM UTC","50.197.161.140"," ","192.168.1.223","cd2818d3-4a04-49f2-a121-69149747fe2a","low"
"Delivery & Attack","Exploit Kit","EK Payload Delivered","Fri, Sep 29 2017 01:00AM UTC","23.239.12.68"," ","192.168.204.175","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 01:00AM UTC","192.168.1.10"," ","82.221.136.4","b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"System Compromise","Malware Infection","Malicious SSL Certificate","Fri, Sep 29 2017 12:50AM UTC","27.111.40.234"," ","192.168.1.80","b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"System Compromise","Suspicious Behavior","OTX Indicators of Compromise","Fri, Sep 29 2017 12:30AM UTC","192.168.0.50"," ","8.8.8.8","b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"System Compromise","Malware Infection","Backdoor","Fri, Sep 29 2017 12:30AM UTC","192.168.0.50"," ","8.8.8.8","b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:30AM UTC","10.4.3.103"," ","195.248.235.240","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Ransomware","Fri, Sep 29 2017 12:30AM UTC","10.4.3.103"," ","195.248.235.240","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Ransomware","Fri, Sep 29 2017 12:30AM UTC","10.4.3.103"," ","31.41.217.90","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:30AM UTC","10.4.3.103"," ","31.41.217.90","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Exploit Kit","EK Payload Delivered","Fri, Sep 29 2017 12:30AM UTC","10.4.3.103;5.101.77.137"," ","10.4.3.103;5.101.77.137","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Exploit Kit","EK Payload Delivered","Fri, Sep 29 2017 12:29AM UTC","195.208.1.105;192.168.179.160"," ","120.52.73.77;192.168.179.160","cd2818d3-4a04-49f2-a121-69149747fe2a;b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:29AM UTC","192.185.218.152;183.60.106.54"," ","192.168.74.15","cd2818d3-4a04-49f2-a121-69149747fe2a;b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"Delivery & Attack","Exploit Kit","EK Payload Delivered","Fri, Sep 29 2017 12:29AM UTC","104.216.226.36;37.1.195.241"," ","192.168.249.71","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:29AM UTC","192.168.75.103"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:29AM UTC","192.168.75.103"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:29AM UTC","192.168.92.215"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:29AM UTC","192.168.92.215"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:29AM UTC","192.168.254.134"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:29AM UTC","192.168.254.134"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:29AM UTC","192.168.167.136"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:29AM UTC","192.168.167.136"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:29AM UTC","217.174.148.151"," ","192.168.167.136","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Exploit Kit","EK Payload Delivered","Fri, Sep 29 2017 12:29AM UTC","192.168.254.134;50.63.50.1"," ","112.90.51.159;192.168.254.134","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication - Sinkhole","Sinkhole","Fri, Sep 29 2017 12:29AM UTC","148.81.111.121"," ","192.168.125.61","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:29AM UTC","108.170.51.58"," ","192.168.17.146","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:28AM UTC","183.60.106.54"," ","192.168.143.39","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication - Sinkhole","Sinkhole","Fri, Sep 29 2017 12:28AM UTC","213.133.98.98"," ","192.168.143.39","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication - Sinkhole","Wapack Labs Sinkhole DNS Response","Fri, Sep 29 2017 12:28AM UTC","213.133.98.98"," ","192.168.143.39","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Suspicious Behavior","Executable Download from Dynamic DNS Host","Fri, Sep 29 2017 12:28AM UTC","192.168.84.33"," ","46.254.16.107;217.115.151.99","cd2818d3-4a04-49f2-a121-69149747fe2a;b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"System Compromise","Malware Infection","Trojan","Fri, Sep 29 2017 12:28AM UTC","213.133.98.98"," ","192.168.181.168","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Domain Generation Algorithm","Fri, Sep 29 2017 12:28AM UTC","213.133.98.98"," ","192.168.181.168","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Exploit Kit","EK Payload Delivered","Fri, Sep 29 2017 12:28AM UTC","192.168.161.17"," ","112.78.9.44;81.31.39.100","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","74.124.198.32"," ","192.168.179.160","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Exploit Kit","EK Payload Delivered","Fri, Sep 29 2017 12:28AM UTC","192.168.231.229;183.60.106.54"," ","192.168.231.229;180.151.6.242","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:28AM UTC","183.60.106.54"," ","192.168.231.229","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:28AM UTC","183.60.106.54"," ","192.168.74.58","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Suspicious Download","Suspicious Java Download","Fri, Sep 29 2017 12:28AM UTC","183.131.168.153;52.44.228.34"," ","192.168.204.56","cd2818d3-4a04-49f2-a121-69149747fe2a;b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:28AM UTC","183.60.106.54"," ","192.168.40.84","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.16.212"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.16.212"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:28AM UTC","183.60.106.54;192.168.16.212"," ","69.6.223.30;192.168.16.212","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:28AM UTC","183.60.106.54"," ","192.168.34.64","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:28AM UTC","183.60.106.54"," ","192.168.25.251","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.25.251"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.25.251"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:28AM UTC","183.60.106.54"," ","192.168.101.60","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.101.60"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.101.60"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:28AM UTC","183.60.106.54"," ","192.168.110.143","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Trojan","Fri, Sep 29 2017 12:28AM UTC","213.133.98.98"," ","192.168.69.93","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication","Domain Generation Algorithm","Fri, Sep 29 2017 12:28AM UTC","213.133.98.98"," ","192.168.69.93","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","192.185.218.152"," ","192.168.74.15","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Suspicious Behavior","Executable Download from Dynamic DNS Host","Fri, Sep 29 2017 12:28AM UTC","192.168.69.93"," ","180.151.6.242;50.116.57.204","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","108.167.188.143"," ","192.168.33.14","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.33.14"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.33.14"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.69.93"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.69.93"," ","69.6.223.30","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication - Sinkhole","Sinkhole","Fri, Sep 29 2017 12:28AM UTC","213.133.98.98"," ","192.168.18.193","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication - Sinkhole","Wapack Labs Sinkhole DNS Response","Fri, Sep 29 2017 12:28AM UTC","213.133.98.98"," ","192.168.18.193","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication - Sinkhole","Sinkhole","Fri, Sep 29 2017 12:28AM UTC","213.133.98.98"," ","192.168.33.14","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication - Sinkhole","Wapack Labs Sinkhole DNS Response","Fri, Sep 29 2017 12:28AM UTC","213.133.98.98"," ","192.168.33.14","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.18.193"," ","185.57.173.182","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.18.193"," ","185.57.173.182","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","108.167.188.143"," ","192.168.41.201","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","207.210.200.210"," ","192.168.42.102","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","192.185.3.5"," ","192.168.151.146","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.37.51"," ","38.71.8.226","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.37.51"," ","38.71.8.226","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.125.234"," ","38.71.8.226","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.125.234"," ","38.71.8.226","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.223.80"," ","162.222.193.17","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.223.80"," ","162.222.193.17","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.124.49"," ","188.95.50.96","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.124.49"," ","188.95.50.96","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.124.49"," ","185.57.173.182","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.124.49"," ","185.57.173.182","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","192.168.192.54"," ","159.253.36.92","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.84.33"," ","185.57.173.182","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.84.33"," ","185.57.173.182","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Exploit Kit","EK Payload Delivered","Fri, Sep 29 2017 12:28AM UTC","192.168.28.106;37.1.195.241"," ","109.236.82.65;192.168.28.106","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","93.115.203.108"," ","192.168.7.21","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Suspicious Behavior","Executable Download from Dynamic DNS Host","Fri, Sep 29 2017 12:28AM UTC","192.168.222.179"," ","91.223.82.39;46.254.16.107","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.107.252"," ","183.110.214.115","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.107.252"," ","183.110.214.115","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication - Sinkhole","Sinkhole","Fri, Sep 29 2017 12:28AM UTC","148.81.111.121"," ","192.168.107.252","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","104.238.71.250"," ","192.168.107.252","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:28AM UTC","107.148.185.217;183.60.106.54"," ","192.168.34.66","cd2818d3-4a04-49f2-a121-69149747fe2a;b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"Delivery & Attack","Vulnerable Software Exploitation","JavaScript Shellcode","Fri, Sep 29 2017 12:28AM UTC","185.118.112.133;148.81.111.121"," ","192.168.107.252","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.45.162"," ","185.57.173.178","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.45.162"," ","185.57.173.178","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","198.38.82.141"," ","192.168.45.162","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","192.168.61.232"," ","210.245.86.59","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Exploit Kit","EK Payload Delivered","Fri, Sep 29 2017 12:28AM UTC","192.168.156.98"," ","5.189.171.71;200.117.237.2","cd2818d3-4a04-49f2-a121-69149747fe2a;b505ca76-08cf-46b9-8108-c26b94b3fa80","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.44.47"," ","185.57.173.178","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.44.47"," ","185.57.173.178","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.153.131"," ","185.57.173.182","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.153.131"," ","185.57.173.182","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","31.31.196.116"," ","192.168.74.247","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","93.115.203.108"," ","192.168.228.44","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","Malware Infection","Adware","Fri, Sep 29 2017 12:28AM UTC","192.168.14.114"," ","188.95.50.96","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication","Malware Beaconing to C&C","Fri, Sep 29 2017 12:28AM UTC","192.168.14.114"," ","188.95.50.96","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:28AM UTC","192.168.71.64"," ","210.245.86.59","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:27AM UTC","75.98.175.76"," ","192.168.197.93","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Vulnerable Software Exploitation","Internet Explorer","Fri, Sep 29 2017 12:27AM UTC","43.249.8.78"," ","192.168.186.114","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"Delivery & Attack","Malware Infection","Phishing","Fri, Sep 29 2017 12:27AM UTC","160.153.129.234"," ","192.168.123.210","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Suspicious Behavior","Executable Download from Dynamic DNS Host","Fri, Sep 29 2017 12:27AM UTC","192.168.136.196;118.123.18.239"," ","192.168.136.196;217.115.151.99","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Trojan","Fri, Sep 29 2017 12:27AM UTC","146.185.234.63"," ","192.168.65.38","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","Malware Infection","Trojan","Fri, Sep 29 2017 12:27AM UTC","146.185.234.63"," ","192.168.30.217","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
"System Compromise","C&C Communication - Sinkhole","Sinkhole","Fri, Sep 29 2017 12:27AM UTC","192.42.116.41"," ","192.168.65.38","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"System Compromise","C&C Communication - Sinkhole","Sinkhole","Fri, Sep 29 2017 12:27AM UTC","192.42.116.41"," ","192.168.30.217","cd2818d3-4a04-49f2-a121-69149747fe2a","medium"
"Delivery & Attack","Suspicious Behavior","Executable Download from Dynamic DNS Host","Fri, Sep 29 2017 12:27AM UTC","52.212.34.193;192.168.236.133"," ","192.168.236.133;62.210.27.223","cd2818d3-4a04-49f2-a121-69149747fe2a","high"
