Scan Results,09/26/2017 at 11:58:26 (GMT+0300),,,,,,,,,,,,,,,,,,,,,,,
Nayax LTD,Roul Walenberg 18 st,,Tel-Aviv,None,Israel,11111,,,,,,,,,,,,,,,,,,
Gal Bayer,nayax-gb,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Launch Date,Active Hosts,Total Hosts,Type,Status,Reference,Scanner Appliance,Duration,Scan Title,Asset Groups,IPs,Excluded IPs,Option Profile,,,,,,,,,,,,
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",38173,SSL Certificate - Signature Verification Failed Vulnerability,Vuln,2,3389,tcp,,over ssl,,,,"An SSL Certificate associates an entity (person, organization, host, etc.) with a Public Key. In an SSL connection, the client authenticates the remote server using the server's Certificate and extracts the Public Key in the Certificate to establish the secure connection. The authentication is done by verifying that the public key in the certificate is signed by a trusted third-party Certificate Authority.
 
If a client is unable to verify the certificate, it can abort communication or prompt the user to continue the communication without authentication.","By exploiting this vulnerability, man-in-the-middle attacks in tandem with DNS cache poisoning can occur.
 
Exception: 
If the server communicates only with a restricted set of clients who have the server certificate or the trusted CA certificate, then the server or CA certificate may not be available publicly, and the scan will be unable to verify the signature.",Please install a server certificate signed by a trusted third-party Certificate Authority.,,,Certificate 0 CN=OREN-NEW.nayaxvend.int unable to get local issuer certificate,yes,,General remote services
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",90043,SMB Signing Disabled or SMB Signing Not Required,Practice,3,,,,,,,,"This host does not seem to be using SMB (Server Message Block) signing. SMB signing is a security mechanism in the SMB protocol and is also known as security signatures. SMB signing is designed to help improve the security of the SMB protocol.
 
SMB signing adds security to a network using NetBIOS, avoiding man-in-the-middle attacks.
 
When SMB signing is enabled on both the client and server SMB sessions are authenticated between the machines on a packet by packet basis.","Unauthorized users sniffing the network could catch many challenge/response exchanges and replay the whole thing to grab particular session keys, and then authenticate on the Domain Controller.","Without SMB signing, a device could intercept SMB network packets from an originating computer, alter their contents, and broadcast them to the destination computer. Since, digitally signing the packets enables the recipient of the packets to confirm their point of origination and their authenticity, it is recommended that SMB signing is enabled and required.
 
Please refer to Microsoft's article 887429 (http://support.microsoft.com/kb/887429) for information on enabling SMB signing. 
 
For Windows Server 2008 R2, Windows Server 2012, please refer to Microsoft's article Require SMB Security Signatures (http://technet.microsoft.com/en-us/library/cc731957.aspx) for information on enabling SMB signing. For group policies please refer to Microsoft's article Modify Security Policies in Default Domain Controllers Policy (http://technet.microsoft.com/en-us/library/cc731654)",,,,yes,,Windows
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45002,Global User List,Practice,2,,,,,,,,"This is the global system user list, which was retrieved during the scan by exploiting one or more vulnerabilities or via authentication provided by user. The Qualys IDs for the vulnerabilities leading to the disclosure of these users are also given in the Result section. Each user will be displayed only once, even though it may be obtained by using different methods. 
Note: We did not exploit any vulnerabilities to gather this information in QID 90266, 45027 or 45032.",These common account(s) can be used by a malicious user to break-in the system via password bruteforcing.,"To prevent your host from being attacked, do one or more of the following:
 
 Remove (or rename) unnecessary accounts
 Shutdown unnecessary network services
 Ensure the passwords to these accounts are kept secret
 Use a firewall to restrict access to your hosts from unauthorized domains",,,"User Name	Source Vulnerability (QualysID)
Administrator	45032,45031
Guest	90266,45027,45031
User	45031",yes,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105236,Windows User Accounts With Unchanged Passwords,Practice,2,,,,,,,,The target Microsoft Windows system has some user accounts with  passwords which have never changed. This may include any disabled accounts that you may have.,N/A,Please check if this adheres with your security policy and remove unwanted accounts.,,,Guest,no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",42017,Remote Access or Management Service Detected,Ig,3,,,,,,,,"A remote access or remote management service was detected. If such a service is accessible to malicious users it can be used to carry different type of attacks. Malicious users could try to brute force credentials or collect additional information on the service which could enable them in crafting further attacks. 
 
The Results section includes information on the remote access service that was found on the target.
 
Services like Telnet, Rlogin, SSH, windows remote desktop, pcAnywhere, Citrix Management Console, Remote Admin (RAdmin), VNC, OPENVPN and ISAKMP are checked.",Consequences vary by the type of attack.,Expose the remote access or remote management services only to the system administrators or intended users of the system.,,,Service name: Remote Desktop on TCP port 3389.,no,,General remote services
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45031,Accounts Enumerated From SAM Database Whose Passwords Do Not Expire,Ig,3,,,,,,,,The Security Accounts Manager holds user and machine account information. The scanner found at least one user or machine account in the SAM database for the target Windows machine whose password does not expire. The accounts are listed in the Result section.,,,,,"User/Machine Accounts With Passwords That Do Not Expire:
Administrator
Guest
User",no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",70030,NetBIOS Shared Folders,Ig,3,,,,,,,,The following NetBIOS shared folders have been detected.,,,,,"Device Name	Comment	Type	Label	Size	Description
ADMIN$	Remote Admin	-2147483648	 	238 GB	Disk (mounted)
C$	Default share	-2147483648	 	 	 
IPC$	Remote IPC	-2147483645",no,,SMB / NETBIOS
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45017,Operating System Detected,Ig,2,,,,,,,,"Several different techniques can be used to identify the operating system (OS) running on a host. A short description of these techniques is provided below. The specific technique used to identify the OS on this host is included in the RESULTS section of your report.
 
1)  TCP/IP Fingerprint : The operating system of a host can be identified from a remote system using TCP/IP fingerprinting. All underlying operating system TCP/IP stacks have subtle differences that can be seen in their responses to specially-crafted TCP packets. According to the results of this ""fingerprinting"" technique, the OS version is among those listed below. 
 
Note that if one or more of these subtle differences are modified by a firewall or a packet filtering device between the scanner and the host, the fingerprinting technique may fail. Consequently, the version of the OS may not be detected correctly. If the host is behind a proxy-type firewall, the version of the operating system detected may be that of the firewall instead of the host being scanned.
 
2)  NetBIOS : Short for Network Basic Input Output System, an application programming interface (API) that augments the DOS BIOS by adding special functions for local-area networks (LANs). Almost all LANs for PCs are based on the NetBIOS. Some LAN manufacturers have even extended it, adding additional network capabilities. NetBIOS relies on a message format called Server Message Block (SMB). 
 
3)  PHP Info : PHP is a hypertext pre-processor, an open-source, server-side, HTML-embedded scripting language used to create dynamic Web pages. Under some configurations it is possible to call PHP functions like phpinfo() and obtain operating system information.
 
4)  SNMP : The Simple Network Monitoring Protocol is used to monitor hosts, routers, and the networks to which they attach. The SNMP service maintains Management Information Base (MIB), a set of variables (database) that can be fetched by Managers. These include ""MIB_II.system.sysDescr"" for the operating system.",Not  applicable.,Not  applicable.,,,"Operating System	Technique	ID
Windows 7 Service Pack 1	CIFS via TCP Port 445	 
Windows 2008 R2/7	NTLMSSP	 
Windows Vista / Windows 2008 / Windows 7 / Windows 2012 / Windows 8 / Windows 10	TCP/IP Fingerprint	U3414:135",no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45026,Windows  Effective Password Policy Information Gathering Via SAM Database,Ig,2,,,,,,,,"This check probes the SAM database on the target host for password policy information. Information gathered is:
 
Minimum Password Age in Days 
Maximum Password Age in Days 
Minimum Password Length in Characters 
Password History (Number of old passwords remembered)
 
The policy is the effective policy, which is a combination of the local policy settings (if any) and the domain-wide policy settings made on the Domain Controller(s) for the domain.
 
This probe requires authentication to be successful.",This password policy information may be used for auditing a Windows-based network for password policy compliance of its nodes. An attacker with a working account can use it to query the network and obtain information.,N/A,,,"Effective Password Policy:

Mininum Password Length - 7 Characters.
Password History Length - 24 Passwords.
Minimum Password Age - 0 (Not defined/Infinite).
Maximum Password Age - 90 Days.
Password Complexity - Set.
Store Password Using Reversible Encryption - Not Set.",no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",45028,Windows Domain Effective Account Lockout Policy Information Gathered Via SAM Database,Ig,2,,,,,,,,"The Security and Accounts Manager (SAM) Database of any Windows host participating in a Windows Domain has information about the account lockout policy set on that system. Such information was gathered from the target and is shown in the Results section below.
 
It should be noted that if the Domain Controller/Active Directory on this domain enforces a policy as well, the Domain Controller policy will override the local policies (if any) of each host. Further, it takes up to a couple of minutes for changes on the Domain Controller policy to be propogated to all the individual hosts on that domain.",,,,,"Effective Account Lockout Policy:

Maximum Failed Logon Attempts Before Lockout - 0 (Not defined/Infinite/Will Not Lockout).
Lockout Logon-Attempts-Counter Duration - 30 Minutes.
Lockout Duration - 30 Minutes.",no,,Information gathering
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",70022,Open DCE-RPC / MS-RPC Services List,Ig,2,,,,,,,,The following DCE-RPC / MS-RPC services are active on the remote host.,N/A,"Shut down any unknown or unused service on the list. In Windows, this is done in the ""Services"" Control Panel. In other environments, this usually requires editing a configuration file or start-up script.

If you have provided Windows Authentication credentials, the Microsoft Registry service supporting the named pipe ""\PIPE\winreg"" must be present to allow CIFS to access the Registry.",,,"Description	Version	TCP Ports	UDP Ports	HTTP Ports	NetBIOS/CIFS Pipes
DCE Endpoint Mapper	3.0	 	 	 	\PIPE\epmapper
DCE Remote Management	1.0	 	 	 	\PIPE\epmapper
DCOM OXID Resolver	0.0	 	 	 	\PIPE\epmapper
DCOM Remote Activation	0.0	 	 	 	\PIPE\epmapper
DCOM System Activator	0.0	 	 	 	\PIPE\epmapper
Microsoft Event Log Service	0.0	 	 	 	\PIPE\eventlog
Microsoft Local Security Architecture	0.0	 	 	 	\PIPE\lsarpc
Microsoft Network Logon	1.0	 	 	 	\PIPE\NETLOGON
Microsoft Scheduler Control Service	1.0	 	 	 	\PIPE\atsvc
Microsoft Security Account Manager	1.0	49173	 	 	\PIPE\samr, \pipe\lsass
Microsoft Server Service	3.0	 	 	 	\PIPE\srvsvc
Microsoft Service Control Service	2.0	49175	 	 	\PIPE\svcctl
Microsoft Task Scheduler	1.0	 	 	 	\PIPE\atsvc
Microsoft Workstation Service	1.0	 	 	 	\PIPE\wkssvc
WinHttp Auto-Proxy Service	5.1	 	 	 	\PIPE\W32TIME_ALT
RPC ROUTER SERVICE	1.0	 	 	 	\PIPE\ROUTER
(Unknown Service)	1.0	49152	 	 	\PIPE\InitShutdown
(Unknown Service)	1.0	 	 	 	\PIPE\InitShutdown
Security Center	1.0	49153	 	 	\pipe\eventlog
DHCPv6 Client LRPC Endpoint	1.0	49153	 	 	\pipe\eventlog
DHCP Client LRPC Endpoint	1.0	49153	 	 	\pipe\eventlog
NRP server endpoint	1.0	49153	 	 	\pipe\eventlog
Event log TCPIP	1.0	49153	 	 	\pipe\eventlog
Impl friendly name	1.0	49154	 	 	\PIPE\srvsvc, \PIPE\atsvc
XactSrv service	1.0	49154	 	 	\PIPE\atsvc
IP Transition Configuration endpoint	1.0	49154	 	 	\PIPE\atsvc
(Unknown Service)	1.0	49154	 	 	\PIPE\atsvc
KeyIso	1.0	 	 	 	\pipe\lsass
Unimodem LRPC Endpoint	1.0	 	 	 	\pipe\tapsrv, \pipe\TermSrv_API_service, \pipe\keysvc, \PIPE\wkssvc",no,,SMB / NETBIOS
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",82063,Host Uptime Based on TCP TimeStamp Option,Ig,2,,,,,,,,"The TCP/IP stack on the host supports the TCP TimeStamp (kind 8) option. Typically the timestamp used is the host's uptime (since last reboot) in various units (e.g., one hundredth of second, one tenth of a second, etc.). Based on this, we can obtain the host's uptime. The result is given in the Result section below.
 
Some operating systems (e.g., MacOS, OpenBSD) use a non-zero, probably random, initial value for the timestamp. For these operating systems, the uptime obtained does not reflect the actual uptime of the host; the former is always larger than the latter.",N/A,N/A,,,"Based on TCP timestamps obtained via port 135, the host's uptime is 5 days, 21 hours, and 42 minutes.
The TCP timestamps from the host are in units of 10 milliseconds.",no,,TCP/IP
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",90194,Windows Registry Pipe Access Level,Ig,2,,,,,,,,"Return code from remote access to the Windows registry pipe is displayed. The CIFS service accesses the Windows registry through a named pipe. Authentication to CIFS was successful, but it could not access the Registry named pipe if the error code is not 0.",Vulnerabilities that require Windows registry access may not have been detected during the scan if the error code is not 0.,Error code 0x00 means the pipe access was successful. Other error codes (for eg: 0x0) denote unsuccessful access.,,,"Access to Remote Registry Service is denied, error: 0x0
Registry access denied, error code: 0x0",no,,Windows
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",90266,Real Name of  Built-in Guest Account Enumerated,Ig,2,,,,,,,,Microsoft best practices documents recommend renaming the built-in Guest account. This test enumerates the actual name of the built-in Guest account.,N/A,N/A,,,Guest,no,,Windows
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105099,Microsoft Windows Users With Privilege - Assign Primary Token Privilege,Ig,2,,,,,,,,The SeAssignPrimaryTokenPrivilege setting at the host is enumerated. By default Local Service and Network Service have this privilege. Local System has the privilege inherently.,N/A,N/A,,,"Network_Service
Local_Service",no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105100,Microsoft Windows Users With Privilege - Audit Privilege,Ig,2,,,,,,,,The SeAuditPrivilege setting at the host is enumerated. By default Local Service and Network Service accounts have this privilege. Local System has the privilege inherently.,N/A,N/A,,,"Network_Service
Local_Service",no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105101,Microsoft Windows Users With Privilege - Backup Files and Directories,Ig,2,,,,,,,,"The SeBackupPrivilege setting allows the user to circumvent file and directory permissions to back up the system. The privilege is selected only when an application attempts access by using the NTFS backup application programming interface API. Otherwise, normal file and directory permissions apply. By default administrators and backup operators have access.",N/A,N/A,,,"Backup_Operators
Administrators",no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105102,Microsoft Windows Users With Privilege - Change Notify,Ig,2,,,,,,,,"Allows a user to passthrough folders to which the user otherwise has no access while navigating an object path in the NTFS file system or in the registry. This privilege does not allow the user to list the contents of a folder; it allows the user only to traverse its directories. By default administrators, backup operators, power users, users who have this privilege.",N/A,N/A,,,"Backup_Operators
Users
Administrators
Network_Service
Local_Service
All",no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105103,Microsoft Windows Users With Privilege - Create Global Objects,Ig,2,,,,,,,,"The SeCreateGlobalPrivilege setting at the host is enumerated. This privilege is required to create named file mapping objects in the global namespace during Terminal Services sessions. This privilege is enabled by default for administrators, services and the Local System account.",N/A,N/A,,,"Service_Logon
Administrators
Network_Service
Local_Service",no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105104,Microsoft Windows Users With Privilege - Create Page File,Ig,2,,,,,,,,"The SeCreatePagefile privilege setting at the host is enumerated. This allows users to create and change the size of a page file. This is done by specifying a page file size for a particular drive in the ""performance options"" box on the Advanced tab of System Properties. By default administrators have this privilege.",N/A,N/A,,,Administrators,no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105107,Microsoft Windows Users With Privilege - Debug Applications,Ig,2,,,,,,,,The SeDebugPrivilege setting at the host is enumerated. This allows a user to attach a debugger to any process. This privilege provides access to sensitive system components and allows for the creation of operating system components.,N/A,N/A,,,Administrators,no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105109,Microsoft Windows Users With Privilege - Impersonate,Ig,2,,,,,,,,The SeImpersonatePrivilege setting at the host is enumerated. This allows a user to impersonate a client after authentication.,N/A,N/A,,,"Service_Logon
Administrators
Network_Service
Local_Service",no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105110,Microsoft Windows Users With Privilege  - Increase Base Priority,Ig,2,,,,,,,,The SeIncreaseBasePriorityPrivilege setting at the host is enumerated. This allows a user to increase the base priority class of a process. By default administrators have this privilege.,N/A,N/A,,,Administrators,no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105111,Microsoft Windows Users With Privilege - Increase Quota,Ig,2,,,,,,,,"The SeIncreaseQuotaPrivilege setting at the host is enumerated. This allows a process that has access to a second process to increase the processor quota assigned to the second process. By default administrators, Local Service and Network Service have this privilege.",N/A,N/A,,,"Administrators
Network_Service
Local_Service",no,,Security Policy
10.0.0.182,oren-new.nayaxvend.int,OREN-NEW,Windows 7 Service Pack 1,"host scanned, found vuln",105112,Microsoft Windows Users With Privilege - Load Drivers,Ig,2,,,,,,,,The SeLoadDriverPrivilege setting at the host is enumerated. This allows a user to load or unload a driver. By default administrators have this privilege.,N/A,N/A,,,Administrators,no,,Security Policy
