Synopsis,CVE,Risk,Host,Solution,Plugin Output
The remote service supports the use of medium strength SSL ciphers.,0,Medium,10.10.10.123,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","
Here is the list of medium strength SSL ciphers supported by the remote server :

  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    DES-CBC3-SHA                 Kx=RSA         Au=RSA      Enc=3DES-CBC(168)        Mac=SHA1   

The fields above are :

  {OpenSSL ciphername}
  Kx={key exchange}
  Au={authentication}
  Enc={symmetric encryption method}
  Mac={message authentication code}
  {export flag}
"
"The remote host is affected by a remote information disclosure
vulnerability.",CVE-2014-3566,Medium,10.10.10.123,"Apply the client registry key workaround and the server registry key
workaround suggested by Microsoft in the advisory.","
The workaround to disable SSL 3.0 for all server software installed on
the remote host has not been applied.

The workaround to disable SSL 3.0 for all client software installed on
the remote host has not been applied.

The following users on the remote host have vulnerable IE settings :

    S-1-5-21-3852196445-1890925931-3115976469-5256 (SSLv3 Enabled)
"
There is an unknown service running on the remote host.,0,None,10.10.10.123,n/a,"
If you know what this service is and think the banner could be used to
identify it, please send a description of the service along with the
following output to svc-signatures@nessus.org :

  Port   : 8000
  Type   : spontaneous
  Banner : 
0x00:  00 00 00 5A 80 06 00 00 00 0A 01 03 00 01 86 AC    ...Z............
           0x10:  00 00 00 0A 10 03 00 00 00 03 00 00 00 13 11 05    ................
           0x20:  46 53 53 4F 20 35 2E 30 2E 30 32 35 31 00 00 00    FSSO 5.0.0251...
           0x30:  16 12 01 8C 34 2E 00 87 21 ED 28 DE 27 51 25 10    ....4...!.(.'Q%.
           0x40:  51 BC 68 00 00 00 17 13 01 46 53 41 45 5F 53 45    Q.h......FSAE_SE
           0x50:  52 56 45 52 5F 31 30 30 30 31                      RVER_10001      
           

Nessus detected the following process listening on this port :

collectoragent.exe
"
This plugin enumerates installed Microsoft security rollups.,0,None,10.10.10.123,n/a,"
 Cumulative Rollup : 09_2017 [KB4038792]
 Security Rollup : 09_2017 [KB4038793]
 Cumulative Rollup : 08_2017 [KB4034681]
 Security Rollup : 08_2017 [KB4034672]
 Preview of Monthly Rollup : 08_2017 [KB4034663]
 Cumulative Rollup : 07_2017 [KB4025336]
 Security Rollup : 07_2017 [KB4025333]
 Cumulative Rollup : 06_2017 [KB4022726]
 Security Rollup : 06_2017 [KB4022717]
 Cumulative Rollup : 05_2017 [KB4019215]
 Security Rollup : 05_2017 [KB4019213]
 Cumulative Rollup : 04_2017 [KB4015550]
 Security Rollup : 04_2017 [KB4015547]
 Preview of Monthly Rollup : 03_2017 [KB4012219]
 Cumulative Rollup : 12_2016 [KB3205401]
 Cumulative Rollup : 11_2016 [KB3197874]
 Cumulative Rollup : 10_2016 [KB3185331]

 Latest effective update level : 09_2017
 File checked                  : C:\Windows\system32\ntoskrnl.exe
 File version                  : 6.3.9600.18790
 Associated KB                 : 3185331, 3192392, 3192404
"
The remote Windows host has quick-fix engineering updates installed.,0,None,10.10.10.123,n/a,"
Here is a list of quick-fix engineering updates installed on the
remote system :

+ KB2894856
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB2919355
  - Description : Update
  - InstalledOn : 3/18/2014

+ KB2919442
  - Description : Update
  - InstalledOn : 3/18/2014

+ KB2934520
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB2938066
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB2938772
  - Description : Update
  - InstalledOn : 3/18/2014

+ KB2949621
  - Description : Hotfix
  - InstalledOn : 3/18/2014

+ KB2954879
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB2967917
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB2973351
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB2977765
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB2978041
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB2978126
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB2989930
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3000483
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3000850
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3003057
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3004361
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3004365
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3004545
  - Description : Hotfix
  - InstalledOn : 10/2/2016

+ KB3012702
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3013172
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3013769
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3013791
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3013816
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3014442
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3019978
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3021952
  - Description : Security Update
  - InstalledOn : 1/31/2017

+ KB3022777
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3023222
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3023266
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3024751
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3024755
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3029603
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3030377
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3030947
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3032663
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3033446
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3035126
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3036612
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3037579
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3037924
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3038002
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3041857
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3042085
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3044374
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3044673
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3045634
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3045685
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3045717
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3045719
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3045755
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3045992
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3045999
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3046017
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3046737
  - Description : Hotfix
  - InstalledOn : 10/2/2016

+ KB3048043
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3054169
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3054203
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3054256
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3054464
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3055323
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3055343
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3055642
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3059316
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3059317
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3060681
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3060793
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3061512
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3063843
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3071756
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3074228
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3074548
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3075220
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3077715
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3078405
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3078676
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3080042
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3080149
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3082089
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3083992
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3084135
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3084905
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3086255
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3087041
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3087137
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3091297
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3092601
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3092627
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3094486
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3095701
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3096433
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3097997
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3098779
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3099834
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3100473
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3102429
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3102467
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3103616
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3103696
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3103709
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3109103
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3109976
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3110329
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3115224
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3118401
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3121255
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3121261
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3121461
  - Description : Security Update
  - InstalledOn : 10/9/2016

+ KB3121918
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3123242
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3123245
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3125424
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3126033
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3126434
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3126587
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3126593
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3128650
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3133043
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3133681
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3133690
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3133924
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3134179
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3134813
  - Description : Update
  - InstalledOn : 4/10/2017

+ KB3134815
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3137061
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3137728
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3138602
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3138615
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3139164
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3139398
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3139914
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3140219
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3140234
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3145384
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3145432
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3146601
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3146604
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3146723
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3146751
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3147071
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3153704
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3155784
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3156019
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3156059
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3159398
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3161949
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3161958
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3162343
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3162835
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3164294
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3169704
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3170455
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3172614
  - Description : Update
  - InstalledOn : 10/9/2016

+ KB3172729
  - Description : Security Update
  - InstalledOn : 10/9/2016

+ KB3173424
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3174644
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3175024
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3178539
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3179574
  - Description : Update
  - InstalledOn : 10/2/2016

+ KB3179948
  - Description : Update
  - InstalledOn : 10/9/2016

+ KB3184122
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3185319
  - Description : Security Update
  - InstalledOn : 10/2/2016

+ KB3210135
  - Description : Update
  - InstalledOn : 4/10/2017

+ KB4012864
  - Description : Update
  - InstalledOn : 8/30/2017

+ KB4014510
  - Description : Update
  - InstalledOn : 8/21/2017

+ KB4014556
  - Description : Security Update
  - InstalledOn : 8/21/2017

+ KB4014590
  - Description : Security Update
  - InstalledOn : 8/21/2017

+ KB4015193
  - Description : Update
  - InstalledOn : 8/30/2017

+ KB4015547
  - Description : Security Update
  - InstalledOn : 8/21/2017

+ KB4019213
  - Description : Security Update
  - InstalledOn : 8/21/2017

+ KB4020322
  - Description : Update
  - InstalledOn : 8/21/2017

+ KB4022717
  - Description : Security Update
  - InstalledOn : 8/21/2017

+ KB4025333
  - Description : Security Update
  - InstalledOn : 8/21/2017

+ KB4033428
  - Description : Update
  - InstalledOn : 8/21/2017

+ KB4033989
  - Description : Update
  - InstalledOn : 8/21/2017

+ KB4034672
  - Description : Security Update
  - InstalledOn : 8/21/2017

+ KB4034733
  - Description : Security Update
  - InstalledOn : 8/21/2017

+ KB4036586
  - Description : Security Update
  - InstalledOn : 9/27/2017

+ KB4038793
  - Description : Security Update
  - InstalledOn : 9/27/2017

+ KB4040956
  - Description : Security Update
  - InstalledOn : 9/27/2017

+ KB4040972
  - Description : Update
  - InstalledOn : 9/27/2017

+ KB4038774
  - Description : Update
  - InstalledOn : 9/27/2017

Note that for detailed information on installed QFE's such as InstalledBy, Caption,
and so on, please run the scan with 'Report Verbosity' set to 'verbose'.
"
The remote Windows host has a remote control service installed.,0,None,10.10.10.123,n/a,"
  The following version of the PsExec service was found on the remote host : 
  File    : C:\Windows\psexesvc.exe
  Version : 2.20.0.0
"
The remote Windows host has Terminal Services enabled.,0,None,10.10.10.123,"Disable Terminal Services if you do not use it, and do not allow this
service to run across the Internet.",0
The remote Terminal Services use SSL/TLS.,0,None,10.10.10.123,n/a,"Subject Name: 

Common Name: QAILDC01.nayaxvend.int

Issuer Name: 

Common Name: QAILDC01.nayaxvend.int

Serial Number: 61 6B 35 AE 97 B4 8C A7 4F F3 0C 2B 90 6D 2C 0E 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Sep 23 04:14:40 2017 GMT
Not Valid After: Mar 25 04:14:40 2018 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 AA 36 A9 19 52 9E FB 74 AB 18 52 C5 9B 3A 9A 77 37 6F 05 
            F9 7B 7F 6F 0A B9 D9 BC 18 7B A1 F4 8E 2F FF 95 54 AD 89 22 
            72 B5 AB 8A 93 5D 01 68 2F 30 BB A3 97 F6 32 FC 6F 61 AE 7F 
            19 52 88 78 36 C2 F1 2C 65 E5 68 1E 36 FF E0 08 88 78 37 8B 
            1B EF 64 1F 51 A3 04 A7 92 A1 A4 4A F4 C0 67 16 1E 28 F1 39 
            90 9D D9 AD 0B 44 E0 79 FA DE FB AE E6 BB D1 87 8C 9F 37 D7 
            57 C8 34 C2 AF A7 E0 1B 1E 52 FA 0D EF 61 06 93 DD 12 05 6F 
            1F 34 86 2F 08 45 D8 97 EC 52 96 39 CC 85 A2 C0 C0 C2 E0 96 
            CB 15 1E 75 3E BD F2 5D E5 2A 1D DE CF 0E D4 BD 69 01 38 9B 
            85 7D 94 F3 94 53 71 68 25 4E B6 E1 6D BE 0C 3F 9F E9 7E EE 
            0D B1 A2 98 E9 AA 45 B0 69 6C 0D 4E 4C 9F 36 A9 D7 75 FC AD 
            1F 91 22 6D A7 5B C9 57 3A 37 AB DE D0 58 03 0C 17 5B 12 F5 
            56 24 D6 B2 C1 18 40 3C 00 1F 50 A9 34 9D F6 56 CD 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 36 A0 41 08 E1 42 E6 13 4E 85 C5 3F 88 27 CF 7F 78 B7 97 
           C0 BC 93 C3 DF BF 18 36 2B 81 5A AF 8F A1 57 FC ED 85 76 31 
           EC 6B C7 E5 36 EE 61 7C 1A C1 E3 33 BA 86 83 3F 10 E9 F5 F9 
           42 66 D1 D7 38 0F 89 CF 47 5F 7A 21 12 75 E9 BC 29 E6 14 02 
           B1 75 A4 0B 63 B9 0B A9 BB C2 9E 92 B6 AB FC 77 D1 05 69 DE 
           2E 7F 02 AF 34 3F 06 FE 66 F3 4A 9C 6E 95 A4 C7 C0 67 0E FF 
           B3 77 AD 93 70 E6 01 C1 32 D3 BC 9E 11 27 08 C9 D0 4D 5E 6C 
           E4 EB 7A 10 5D 4D D0 D8 30 7F DA CC 1E 9B 91 A2 84 A8 9A 9C 
           62 83 7D 26 DF FA 95 C7 1B D4 02 D4 31 D6 2B EB D0 1A 7B 28 
           95 6F 22 12 B7 05 56 14 67 5F 43 31 06 81 DC 3B 82 A2 2F 9E 
           B6 B7 BF FB E0 30 27 5C C3 F8 E1 36 75 B1 A6 22 3F 6C 23 33 
           34 12 87 7F 3E 9B 14 7C A7 B2 1F 07 E2 B1 8C C9 68 70 78 C4 
           A8 27 77 AD 2D 61 09 59 4B D6 67 2C 79 96 8D 3E 18 

Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)


Extension: Key Usage (2.5.29.15)
Critical: 0
Key Usage: Key Encipherment, Data Encipherment


"
The remote Kerberos server is leaking information.,0,None,10.10.10.123,n/a,"
Nessus gathered the following information :

  Server time  : 2017-09-27 08:59:45 UTC
  Realm        : NAYAXVEND.INT
"
"This plugin retrieves the Windows Product key of the remote Windows
host.",0,None,10.10.10.123,n/a,"
  Product key : XXXXX-XXXXX-XXXXX-XXXXX-G29CB

Note that all but the final portion of the key has been obfuscated.
"
Use WMI to obtain running process information.,0,None,10.10.10.123,n/a,"Process Overview : 
SID: Process (PID)
 0 : System Idle Process (0) 
 0 : |- System (4) 
 0 :    |- smss.exe (236) 
 0 : csrss.exe (320) 
 1 : csrss.exe (376) 
 0 : wininit.exe (384) 
 0 : |- services.exe (468) 
 0 :    |- spoolsv.exe (1324) 
 0 :    |- Microsoft.ActiveDirectory.WebServices.exe (1356) 
 0 :    |- dfsrs.exe (1388) 
 0 :    |- svchost.exe (1440) 
 0 :    |- dns.exe (1464) 
 0 :    |- collectoragent.exe (1504) 
 0 :    |- ismserv.exe (1568) 
 0 :    |- VGAuthService.exe (1624) 
 0 :    |- vmtoolsd.exe (1644) 
 0 :    |- dfssvc.exe (1708) 
 0 :    |- vds.exe (3152) 
 0 :    |- svchost.exe (3268) 
 0 :    |- svchost.exe (3332) 
 0 :    |- svchost.exe (3356) 
 0 :    |- dllhost.exe (3500) 
 0 :    |- msdtc.exe (3708) 
 0 :    |- svchost.exe (3804) 
 0 :    |- TrustedInstaller.exe (4396) 
 0 :    |- svchost.exe (612) 
 0 :       |- WmiPrvSE.exe (1884) 
 0 :       |- WmiPrvSE.exe (2032) 
 0 :       |- WmiPrvSE.exe (4440) 
 0 :       |- TiWorker.exe (952) 
 0 :    |- svchost.exe (656) 
 0 :    |- svchost.exe (684) 
 0 :    |- svchost.exe (780) 
 0 :    |- svchost.exe (808) 
 0 :    |- svchost.exe (864) 
 0 :    |- svchost.exe (984) 
 0 : |- lsass.exe (476) 
 1 : winlogon.exe (428) 
 1 : |- LogonUI.exe (732) 
 1 : |- dwm.exe (772) 
"
This plugin enumerates installed Microsoft .NET security rollups.,0,None,10.10.10.123,n/a,"

 .NET version                  : 4.6.1
 Latest effective update level : 09_2017
 File checked                  : C:\Windows\Microsoft.NET\Framework\v4.0.30319\system.runtime.remoting.dll
 File version                  : 4.7.2114.0
 Associated KB                 : 4041085, 4041092
"
Use WMI to obtain running process module information.,0,None,10.10.10.123,n/a,"Process_Modules_.csv : lists the loaded modules for each process.
"
Some information about the remote HTTP configuration can be extracted.,0,None,10.10.10.123,n/a,"
Protocol version : HTTP/1.1
SSL : no
Keep-Alive : no
Options allowed : (Not implemented)
Headers :

  Content-Type: text/html; charset=us-ascii
  Server: Microsoft-HTTPAPI/2.0
  Date: Wed, 27 Sep 2017 09:00:56 GMT
  Connection: close
  Content-Length: 315
  
"
Remote open ports can be enumerated via WMI.,0,None,10.10.10.123,n/a,Port 88/tcp was found to be open
